iteration,query,time,n,error
1,q1.rq,3.36,292700,False
2,q1.rq,2.98,292700,False
4,q1.rq,3.04,292700,False
9,q1.rq,3.09,292700,False
7,q1.rq,3.07,292700,False
3,q1.rq,3.03,292700,False
5,q1.rq,3.04,292700,False
8,q1.rq,3.11,292700,False
6,q1.rq,3.11,292700,False
0,q1.rq,2.73,292700,False
4,q11.rq,2.17,260,False
2,q11.rq,2.12,260,False
9,q11.rq,2.21,260,False
6,q11.rq,2.2,260,False
7,q11.rq,2.21,260,False
3,q11.rq,2.2,260,False
0,q11.rq,2.07,260,False
1,q11.rq,2.75,260,False
8,q11.rq,2.19,260,False
5,q11.rq,2.18,260,False
4,q12.rq,11.39,65,False
8,q12.rq,11.57,65,False
9,q12.rq,11.47,65,False
2,q12.rq,11.06,65,False
6,q12.rq,11.35,65,False
3,q12.rq,11.4,65,False
7,q12.rq,11.37,65,False
1,q12.rq,11.0,65,False
0,q12.rq,10.65,65,False
5,q12.rq,11.34,65,False
4,q13.rq,99.63,1325,False
3,q13.rq,99.75,1325,False
9,q13.rq,101.8,1325,False
5,q13.rq,100.47,1325,False
2,q13.rq,98.38,1325,False
6,q13.rq,102.6,1325,False
8,q13.rq,101.21,1325,False
0,q13.rq,87.51,1325,False
1,q13.rq,96.7,1325,False
7,q13.rq,100.81,1325,False
9,q14.rq,0.59,11170,False
8,q14.rq,0.58,11170,False
5,q14.rq,0.59,11170,False
6,q14.rq,0.59,11170,False
3,q14.rq,0.58,11170,False
4,q14.rq,0.65,11170,False
0,q14.rq,0.52,11170,False
7,q14.rq,0.6,11170,False
2,q14.rq,0.57,11170,False
1,q14.rq,0.57,11170,False
3,q16.rq,0.18,650,False
2,q16.rq,0.17,650,False
5,q16.rq,0.18,650,False
8,q16.rq,0.18,650,False
7,q16.rq,0.18,650,False
6,q16.rq,0.17,650,False
1,q16.rq,0.18,650,False
9,q16.rq,0.19,650,False
4,q16.rq,0.18,650,False
0,q16.rq,0.16,650,False
6,q17.rq,8.53,4275,False
7,q17.rq,8.62,4275,False
8,q17.rq,8.48,4275,False
5,q17.rq,8.55,4275,False
4,q17.rq,8.78,4275,False
2,q17.rq,8.34,4275,False
3,q17.rq,8.27,4275,False
0,q17.rq,7.38,4275,False
1,q17.rq,8.26,4275,False
9,q17.rq,8.6,4275,False
6,q18.rq,0.08,624,False
7,q18.rq,0.1,624,False
3,q18.rq,0.09,624,False
1,q18.rq,0.08,624,False
9,q18.rq,0.08,624,False
5,q18.rq,0.08,624,False
0,q18.rq,0.07,624,False
8,q18.rq,0.09,624,False
2,q18.rq,0.08,624,False
4,q18.rq,0.08,624,False
6,q2.rq,1.62,5689,False
7,q2.rq,1.64,5689,False
9,q2.rq,1.6,5689,False
2,q2.rq,1.54,5689,False
5,q2.rq,1.58,5689,False
8,q2.rq,1.6,5689,False
0,q2.rq,1.53,5689,False
4,q2.rq,1.57,5689,False
3,q2.rq,1.6,5689,False
1,q2.rq,1.57,5689,False
7,q3.rq,2.42,2104,False
1,q3.rq,2.35,2104,False
6,q3.rq,2.41,2104,False
0,q3.rq,2.26,2104,False
9,q3.rq,2.67,2104,False
8,q3.rq,2.42,2104,False
5,q3.rq,2.57,2104,False
3,q3.rq,2.5,2104,False
2,q3.rq,2.51,2104,False
4,q3.rq,2.79,2104,False
2,q4.rq,0.6,65,False
5,q4.rq,0.62,65,False
3,q4.rq,0.63,65,False
1,q4.rq,0.6,65,False
7,q4.rq,0.62,65,False
8,q4.rq,0.62,65,False
6,q4.rq,0.62,65,False
0,q4.rq,0.52,65,False
9,q4.rq,0.63,65,False
4,q4.rq,0.72,65,False
2,q5.rq,0.08,175,False
8,q5.rq,0.08,175,False
1,q5.rq,0.08,175,False
6,q5.rq,0.08,175,False
4,q5.rq,0.07,175,False
7,q5.rq,0.07,175,False
9,q5.rq,0.09,175,False
0,q5.rq,0.07,175,False
5,q5.rq,0.07,175,False
3,q5.rq,0.07,175,False
4,q6.rq,0.07,1,False
9,q6.rq,0.07,1,False
0,q6.rq,0.07,1,False
7,q6.rq,0.07,1,False
5,q6.rq,0.07,1,False
1,q6.rq,0.06,1,False
6,q6.rq,0.06,1,False
2,q6.rq,0.06,1,False
3,q6.rq,0.07,1,False
8,q6.rq,0.07,1,False
8,q8.rq,25.52,177300,False
4,q8.rq,24.45,177300,False
9,q8.rq,24.66,177300,False
6,q8.rq,26.65,177300,False
5,q8.rq,25.02,177300,False
0,q8.rq,25.37,177300,False
3,q8.rq,24.93,177300,False
7,q8.rq,25.98,177300,False
2,q8.rq,24.5,177300,False
1,q8.rq,24.27,177300,False
9,q9.rq,9.05,1117490,False
0,q9.rq,8.36,1117490,False
1,q9.rq,8.66,1117490,False
8,q9.rq,10.29,1117490,False
4,q9.rq,9.08,1117490,False
5,q9.rq,8.96,1117490,False
6,q9.rq,8.97,1117490,False
7,q9.rq,9.51,1117490,False
2,q9.rq,8.73,1117490,False
3,q9.rq,8.86,1117490,False
