iteration,query,time,n,error
8,q1.rq,35.16,292700,False
6,q1.rq,36.4,292700,False
5,q1.rq,35.06,292700,False
3,q1.rq,22.88,292700,False
7,q1.rq,36.95,292700,False
2,q1.rq,34.25,292700,False
9,q1.rq,23.23,292700,False
4,q1.rq,33.68,292700,False
1,q1.rq,25.28,292700,False
10,q1.rq,23.56,292700,False
1,q11.rq,0.13,260,False
4,q11.rq,0.13,260,False
6,q11.rq,0.14,260,False
2,q11.rq,0.13,260,False
9,q11.rq,0.14,260,False
7,q11.rq,0.14,260,False
3,q11.rq,0.13,260,False
10,q11.rq,0.14,260,False
8,q11.rq,0.14,260,False
5,q11.rq,0.14,260,False
6,q13.rq,0.58,1325,False
10,q13.rq,0.59,1325,False
3,q13.rq,0.78,1325,False
4,q13.rq,0.56,1325,False
5,q13.rq,0.57,1325,False
2,q13.rq,0.58,1325,False
8,q13.rq,0.56,1325,False
1,q13.rq,0.56,1325,False
9,q13.rq,0.57,1325,False
7,q13.rq,0.56,1325,False
3,q15.rq,3.38,4906,False
7,q15.rq,4.28,4906,False
5,q15.rq,3.48,4906,False
10,q15.rq,3.46,4906,False
2,q15.rq,3.34,4906,False
9,q15.rq,3.43,4906,False
1,q15.rq,3.35,4906,False
6,q15.rq,3.67,4906,False
4,q15.rq,3.38,4906,False
8,q15.rq,3.45,4906,False
7,q16.rq,38.77,650,False
8,q16.rq,38.43,650,False
9,q16.rq,38.82,650,False
6,q16.rq,37.53,650,False
4,q16.rq,37.44,650,False
5,q16.rq,37.88,650,False
10,q16.rq,38.58,650,False
1,q16.rq,37.81,650,False
2,q16.rq,38.49,650,False
3,q16.rq,37.82,650,False
9,q18.rq,0.05,624,False
2,q18.rq,0.05,624,False
8,q18.rq,0.05,624,False
10,q18.rq,0.06,624,False
3,q18.rq,0.12,624,False
6,q18.rq,0.06,624,False
7,q18.rq,0.05,624,False
1,q18.rq,0.05,624,False
4,q18.rq,0.05,624,False
5,q18.rq,0.05,624,False
5,q2.rq,1.65,5689,False
3,q2.rq,1.56,5689,False
7,q2.rq,1.72,5689,False
2,q2.rq,1.55,5689,False
9,q2.rq,1.59,5689,False
1,q2.rq,1.53,5689,False
8,q2.rq,1.57,5689,False
10,q2.rq,1.58,5689,False
6,q2.rq,2.02,5689,False
4,q2.rq,1.53,5689,False
9,q3.rq,1.78,2104,False
7,q3.rq,1.79,2104,False
8,q3.rq,1.76,2104,False
1,q3.rq,1.75,2104,False
5,q3.rq,1.78,2104,False
3,q3.rq,1.8,2104,False
2,q3.rq,1.78,2104,False
4,q3.rq,1.75,2104,False
6,q3.rq,1.78,2104,False
10,q3.rq,1.83,2104,False
2,q4.rq,0.24,65,False
10,q4.rq,0.22,65,False
9,q4.rq,12.18,65,False
8,q4.rq,0.24,65,False
1,q4.rq,0.24,65,False
4,q4.rq,0.24,65,False
5,q4.rq,0.26,65,False
6,q4.rq,0.23,65,False
7,q4.rq,0.24,65,False
3,q4.rq,0.42,65,False
2,q5.rq,0.08,175,False
10,q5.rq,0.08,175,False
9,q5.rq,0.08,175,False
1,q5.rq,0.08,175,False
3,q5.rq,0.08,175,False
6,q5.rq,0.08,175,False
5,q5.rq,0.08,175,False
7,q5.rq,0.08,175,False
4,q5.rq,0.08,175,False
8,q5.rq,0.08,175,False
2,q6.rq,0.01,1,False
3,q6.rq,0.01,1,False
8,q6.rq,0.01,1,False
7,q6.rq,0.01,1,False
4,q6.rq,0.01,1,False
10,q6.rq,0.01,1,False
9,q6.rq,0.01,1,False
5,q6.rq,0.01,1,False
1,q6.rq,0.01,1,False
6,q6.rq,0.01,1,False
4,q9.rq,126.88,1117490,False
1,q9.rq,128.0,1117490,False
8,q9.rq,130.38,1117490,False
2,q9.rq,130.42,1117490,False
6,q9.rq,130.84,1117490,False
3,q9.rq,134.44,1117490,False
10,q9.rq,142.26,1117490,False
5,q9.rq,131.2,1117490,False
9,q9.rq,133.3,1117490,False
7,q9.rq,133.17,1117490,False
